readable-stream,github.com/nodejs/readable-stream,6.8,-1,10,6,0,10,-1,10,10,0,10,10,9,-1,10,0,0
readdir-scoped-modules,github.com/npm/readdir-scoped-modules,4.8,-1,0,0,0,10,10,10,0,10,-1,10,10,0,-1,0,0
readline,github.com/chzyer/readline,5.7,1,8,-1,0,10,-1,0,-1,10,10,0,10,10,10,0,0
realize-package-specifier,github.com/npm/realize-package-specifier,4.8,0,0,-1,0,10,-1,0,-1,10,0,10,10,10,10,0,0
request,github.com/http-util/request,6.3,8,0,-1,0,10,-1,10,10,0,10,10,10,-1,8,0,0
resources,github.com/zero-to-mastery/resources,6.7,-1,10,10,0,10,-1,10,0,10,10,10,10,0,-1,0,0
retry,github.com/moviestoreguy/retry,6,0,-1,3,0,10,-1,0,10,10,10,-1,10,10,10,0,0
rhino,github.com/clivern/rhino,6.7,10,10,-1,0,10,0,10,10,10,10,0,8,0,10,0,5
rimraf,github.com/alexbinary/rimraf,4.8,0,-1,0,0,10,10,0,10,10,-1,10,10,0,-1,0,0
rt,github.com/allenwei/rt,4.5,0,-1,0,0,-1,10,0,10,10,-1,0,10,10,0,0,0
ruby,github.com/exercism/ruby,7.3,10,-1,10,0,10,-1,8,10,10,0,10,-1,9,10,0,0
sed,github.com/sdklite/sed,4.8,-1,0,0,0,10,-1,0,0,10,10,10,-1,10,10,0,0
semver,github.com/composer/semver,5.9,-1,0,2,0,10,10,10,0,-1,10,10,10,-1,3,0,10
sha,github.com/zzztttkkk/sha,5.2,7,-1,0,0,10,-1,-1,10,0,10,10,10,0,0,0,0
shared-mime-info,github.com/orgads/shared-mime-info,4.8,-1,0,0,0,10,-1,0,10,10,10,10,10,0,-1,0,0
sigmund,github.com/isaacs/sigmund,4.8,-1,0,0,0,10,-1,10,10,10,0,-1,10,10,0,0,0
slide,github.com/athm-fe/slide,4.8,0,0,-1,0,10,-1,0,10,10,10,10,-1,10,0,0,0
sntp,github.com/hapijs/sntp,5.7,-1,0,3,0,10,-1,0,10,10,10,10,-1,10,0,10,0
sorted-object,github.com/domenic/sorted-object,5.3,0,1,-1,0,10,-1,0,10,10,10,-1,0,10,10,0,-1
spdx-license-ids,github.com/jslicense/spdx-license-ids,3.7,-1,0,1,0,10,-1,0,0,-1,0,10,10,9,0,0,0
stdio,github.com/sgmonda/stdio,4.7,0,2,-1,0,10,-1,0,0,10,10,0,-1,10,10,0,0
string_decoder,github.com/nodejs/string_decoder,5.9,0,-1,5,0,10,-1,0,10,10,0,10,-1,10,10,0,10
strip-ansi,github.com/chalk/strip-ansi,4.6,0,-1,1,0,10,0,10,10,10,-1,0,9,10,-1,0,0
sudo,github.com/sudo-project/sudo,5.3,-1,10,0,0,10,10,0,-1,10,0,10,10,0,0,10,5
supports-color,github.com/chalk/supports-color,4.8,3,-1,0,0,10,10,10,9,0,10,-1,0,10,-1,0,0
