name, starcount, description, official
barito/td-agent-barito-kubernetes, 2, A kubernetes daemonset that pushes your clus…, 
teliaoss/github-pr-resource, 7, Github pull request resource for Concourse, 
vmware/admiral, 21,  Container management platform, 
ibmcom/nginx-ingress-controller, 4, Docker Image for IBM Cloud Private-CE (Commu…, 
hakobera/locust, 16, Docker image for locust master/slave/standal…, 
krambox/mqtt2influxdb, 2, mqtt2influxdb container, 
spaceinvaderone/windows11_insider, 5, Download Windows 11 via UUP files from Windo…, 
fischerscode/flutter, 15, an automatically build Docker image containi…, 
byniht/nvjdc, 2, , 
bcbcarl/vim, 2, Docker container for Vim., 
siacentral/sia, 3, An unofficial docker image for Sia with auto…, 
lnlssol/debian9-epicsbase, 3, Debian 9 machine with epics base 3.15.X, 
dokku/wait, 4, , 
moutten/speedtest-cli, 7, This is a docker image to run the speedtest-…, 
continuumio/conda-ci-linux-64-python3.7, 4, , 
pykaldi/pykaldi, 3, Docker image for pykaldi, 
hpestorage/hpedockervolumeplugin, 2, HPE 3PAR and StoreVirtual Volume Plug-in for…, 
roffe/kube-gelf, 3, CoreOS Kubernetes graylog monitoring via flu…, 
hlapp/rpopgen, 2, Commonly used packages for population geneti…, 
yhlben/cdfang-spider, 2, The Houses of ChengDu ., 
zmarty/python3-gensim-doc2vec, 3, Docker image that contains the gensim Python…, 
apache/flink-statefun, 3, , 
achild/bugzilla, 11, , 
nawa/torrentmonitor, 14, TorrentMonitor -  PHP application that monit…, 
pvorotnikov/open-iot-broker, 2, OpenIoT Broker Service, 
kasmweb/remmina, 3, Remmina for Kasm Workspaces, 
zilliqa/zilliqa, 4, Zilliqa Public Container Repository, 
ibwighane/kuunika-openhim-core, 2, , 
pebbletech/cloudwatch-stats, 3, Posts memory/disk stats from host EC2 instan…, 
githubfree/sql_exporter, 4, Database agnostic SQL exporter for Prometheus, 
jaegertracing/xdock-py, 2, Python crossdock images for integration test…, 
atomicorp/ossec-docker, 24, OSSEC HIDS 3.6 Server Container , 
lorel/docker-stress-ng, 16, Lighweight docker image for stress-ng, 
huggingface/transformers-pytorch-cpu, 5, Hugging Face Transformers repository with CP…, 
aizhouyi/openwrt-n1-aarch64, 3, , 
oblique/archlinux-pacaur, 3, DEPRECATED! Use oblique/archlinux-yay, 
oddlid/arch-desktop, 9, Archlinux Docker image meant for running a f…, 
edgexfoundry/docker-core-consul, 5, ARCHIVED! The legacy Consul service for olde…, 
ydkdev/ydk-py, 2, YDK-Py on Ubuntu, 
ajoergensen/openssh-server, 4, OpenSSH server, 
hegedussz/mailscanner-mailwatch, 3, MailScanner & MailWatch with Exim4 (5.0.6-5), 
