name, starcount, description, official
pbspro/pbspro, 6, Industry-leading workload manager and job sc…, 
asdkant/fastapi-hello-world, 3, Simple hello world API using fastapi and pyt…, 
hametan/datax-web, 5, , 
bde2020/hadoop-historyserver, 6, Hadoop history server docker image., 
netaskd/arcserve-agent, 2, Arcserve Backup Agent r16.1 and r16.5 in doc…, 
rdaneel/rabbitmq-conf, 2, Rabbitmq confd image for deploying a cluster…, 
nkatsaros/atlassian-crowd, 10, Identity management for users, web apps, and…, 
nineseconds/mtg, 42, Bullshit-free MTPROTO proxy for Telegram, 
kukudemajia/qywx_api, 10, 企业微信 最简单的企业微信API  The most simpl…, 
purestorage/docker-plugin, 5, See certified image at https://store.docker.…, 
viers/mtproxy, 4, Lightweight and easy to set up docker image …, 
kostyaesmukov/gitweb-readonly, 2, gitweb for readonly access of non-bare repos., 
egsy/sc2ai, 2, Linux StarCraft II Learning Environment , 
bndw/wifi-card, 3, , 
kvaps/pipework, 2, Pipework with macvlan mode support, 
webhostingcoopteam/wwiv, 2, WWIV BBS, 
mozilla/ssh_scan, 4, https://github.com/mozilla/ssh_scan, 
treehouses/node, 2, , 
dosel/zalenium, 47, An on-demand, dynamic local Selenium Grid wi…, 
udkyo/skel, 2, Generates a Dockerfile + entrypoint script w…, 
wtnb75/openscad, 2, openscad snapshot, 
mrjin/idea, 2, jetbrains全家桶授权, 
jlesage/crashplan, 10, Docker container for CrashPlan, 
summerwind/h2spec, 2, A conformance testing tool for HTTP/2 implem…, 
bitnami/odoo, 50, Bitnami Docker Image for Odoo, 
gridgain/ultimate, 2, GridGain is an in-memory computing platform …, 
appdynamics/machine-agent-netviz, 2, Machine Agent with Network Visibility suppor…, 
tinyfilemanager/tinyfilemanager, 3, The best web based PHP File Manager in singl…, 
ruhmesmeile/php-nginx-typo3, 3, TYPO3 specialization, 
ler0ever/evdev, 2, LER0ever's Dockerized Development Environment, 
ibmcom/ibm-operator-catalog, 5, IBM Operator Catalog for use with Red Hat Op…, 
fcolista/alpine-metasploit, 3, Alpine Linux Metasploit Image, 
nbabusundaram/babu-kubernates-demo, 2, , 
nailgun/3proxy, 3, 3proxy proxy server, 
atkrad/wait4x, 2, Wait4X allows you to wait for a port or a se…, 
msoares/qt4-dev, 2, Minimal requirements to build a Qt 4.8.6 app…, 
whenlambomoon/zend, 5, Zen Cash Container, 
zmister/mrdoc, 5, MrDoc 的完整运行环境镜像，以 uwsgi 方式部署…, 
ofayau/j2me, 2, Oracle Java ME, one of the smallest JVM ever…, 
ibex/debian-mysql-server-5.7, 15, MySQL 5.7 based on Debian Sid (unstable) for…, 
lmmdock/flask-webserver, 2, simple nginx server to run flask web applica…, 
cimg/node, 12, The CircleCI Node.js Docker Convenience Imag…, 
vimagick/scrapyd, 92, An open source and collaborative framework f…, 
aaionap/hbase, 3, AAI Hbase, 
derenderkeks/murmur, 3, Murmur, 
tamasboros/ookla-speedtest, 3, Containerized version of Ookla's speedtest C…, 
oddlid/dropbox, 4, Headless Dropbox in Docker, 
antongulenko/rtmp-nginx-server, 4, , 
n1book/task, 2, 哦哈哈哈哈哈, 
clkao/postgres-plv8, 13, Docker image for running PLV8 1.4 on Postgre…, 
mdolab/public, 2, , 
imcomking/ttskc, 7, TensorFlow + Theano + Scikit-learn + Keras +…, 
vivareal/base-images, 2, , 
docker/ucp, 33, Docker Universal Control Plane Tool, 
denoland/deno, 49, Latest dockerfiles and images for Deno - alp…, 
msmi/nodejs-poolcontroller, 2, Control your Pentair compatible pool equipme…, 
mxr576/apachesolr-4.x-drupal-docker, 2, Apache Solr 4.x Docker image for Drupal sear…, 
l3iggs/asuswrt-merlin, 2, , 
clearlinux/nginx, 4, Nginx reverse proxy server with the benefits…, 
mmontagna/docker-vpn-pptp, 6, This is a docker image with simple VPN (PPTP…, 
gbrks/syncthing, 5, Small, lightweight syncthing container based…, 
goofball222/dns-over-https, 3, Dockerized DNS-over-HTTPS Server/Client usin…, 
fellah/gitbook, 48, GitBook, 
mpepping/ponysay, 2, The mission-critical `ponysay` command insid…, 
rb2nem/nis, 2, Nem Infrastructure Server, 
dafrenchyman/docker-airflow, 2, Airflow docker with Kubernetes support, 
lthub/moodle, 3, Moodle is a free and open-source learning ma…, 
tokyo2006/s3ninja, 2, It for location mock AWS S3 service for deve…, 
dnanexus/promtool, 2, , 
arwineap/docker-ubuntu-python3.6, 4, docker-ubuntu-python3.6, 
traefik/whoami, 18, , 
mikenye/plex_dupefinder, 3, Multi-arch docker image for l3uddz/plex_dupe…, 
ringcentral/chrome-vnc, 2, Ubuntu(18.04) with VNC and chrome, 
frvi/dashing, 51, Run Dashing in a Docker container., 
peterevans/vegeta, 7, Docker image for the Vegeta HTTP load testin…, 
udacimak/udacimak, 4, Udacity Nanodegree and Course Downloader, 
espressif/idf, 30, https://docs.espressif.com/projects/esp-idf/…, 
continuumio/centos5_gcc5_base, 3, , 
caapim/microgateway, 4, CA Microgateway Repo, 
laraedit/laraedit, 81, Dockerized version of Laravel Homestead, 
gkandemir/node-app, 2, , 
crazymax/diun, 55, Docker image update notifier, 
pboos/rancher-nats, 2, This is an extended version of the official …, 
osll/mooc_linux_programming, 7, , 
dvasdekis/ib-gateway-docker, 2, , 
ubuntu/memcached, 5, Memcached, in-memory keyvalue store for smal…, 
agross/youtrack, 3, JetBrains YouTrack as a docker container, 
gcplot/gcplot, 6, GCPlot - All-in-one JVM GC Logs Analyzer, 
memominsk/protobuf-alpine, 6, 🐳 Alpine-based Docker image with protoc (pr…, 
mavelli/rocker-bayesian, 3, based on rocker/verse adds jags, rjags, r2ja…, 
bbyars/mountebank, 6, Docker images for mountebank, 
ohdsi/broadsea-webtools, 3, Broadsea WebTools container, 
diladele/websafety, 5, Diladele Web Safety - HTTP(s) Content Filter…, 
emhemh/tabpy, 11, Tableau Python Server (TabPy) running in doc…, 
obsidiandynamics/kafka, 7, Combined Kafka and ZooKeeper image, 
bmoorman/organizr, 2, Organizr [causefx/Organizr] on Ubuntu, 
gadgetron/ubuntu_1804_base, 2, , 
jbla/ansible-tower, 2, Ansible Tower 3.1.3 on Ubuntu 14.04, 
farfui/3cx, 30, 3CX is a software-based open standards IP PB…, 
envoyproxy/ratelimit, 2, , 
clma/docker-turtl, 2, An unofficial image for https://turtl.it, 
ennexa/resque-web, 2, , 
tenableofficial/nessus, 45, Official Nessus Scanner , 
bioconductor/release_base2, 6, DEPRECATED - Bioconductor Release Docker Con…, 
rancher/k3s-upgrade, 3, , 
slyun/znzw, 2, 上海水文智能站网系统, 
rsubr/postgres-babelfish, 2, Postgres Babelfish (Unofficial), 
cumulusprod/cellranger, 2, , 
dasmeta/kutt, 2, Free Modern URL Shortener. https://kutt.it, 
msjpq/kvm-windows, 8, , 
nhtua/react-docker, 2, Demo packaging ReactJs with Docker , 
bids/cpac, 2, , 
jtblin/kube2iam, 14, kube2iam provides different AWS IAM roles fo…, 
rstudio/rstudio-workbench, 3, Docker Image for RStudio Workbench (formerly…, 
v8ok/n1-docker-xware, 23, 斐讯N1的专版xware，实现迅雷远程下载，亲测成…, 
jeeaaasustest/youtube-dl, 13, Automated yt-dlp Docker image for downloadin…, 
emacski/tensorflow-serving, 11, Project images from https://github.com/emacs…, 
land007/tfjs-node, 2, Tensorflow.js is a JavaScript library for tr…, 
blacklabelops/hsqldb, 3, Docker container with HSQLDB and SQLTool in …, 
deephdc/deep-oc-dogs_breed_det, 3, Dogs breed detector based on deep learning, …, 
zadam/trilium, 71, Trilium Notes is a hierarchical note taking …, 
rightctrl/tomcat, 7, CentOS , Oracle Java, tomcat application ssl…, 
gherkin/lint, 2, Lints gherkin files and hints about violatio…, 
docker/example-voting-app-vote, 3, , 
linuxserver/habridge, 36, , 
bbinet/heka, 3, , 
consol/omd-labs-debian, 6, OMD Labs (Debian) - Open Monitoring Distribu…, 
gabekangas/owncast, 15, Self-hosted live video stream + chat server., 
equalitie/ouinet, 2, Ouinet is a peer-to-peer, distributed techno…, 
vimflowy/vimflowy, 3, A hierarchical list tool inspired by workflo…, 
l3iggs/gollum, 2, git backed wiki with web interface, 
hayduck/qbittorrent-openvpn, 4, qBittorrent running in an openvpn stolen fro…, 
hsfactory/ebot, 9, Official docker image of ebot, 
arm64v8/xwiki, 4, XWiki: The Advanced Open Source Enterprise W…, 
gavinkflam/tabula-api, 3, An API server extracting tables from PDF fil…, 
rstudio/r-builder-images-win, 3, , 
kaczmarj/ants, 2, Various versions of ANTs built from source, 
xqweb/enhavo-proxy, 2, The goal of enhavo proxy is to create a prox…, 
adn182/node-sonos-http-api, 2, Sonos Node API Master Branch, 
wildscamp/vsftpd, 4, An FTP server designed to simplify local dev…, 
cytopia/bind, 48, Bind caching DNS server on Alpine or Debian …, 
redhat/ubi8-minimal, 27, Red Hat Universal Base Image 8 Minimal, 
esystemstech/filebeat, 2, , 
joxit/docker-registry-ui, 91, Docker registry v2 web User Interface, 
ispsystem/docker-billmanager, 3, Docker image with BILLmanager-Standard, 
cjdb/amcpp-stdlib, 3, A repository for getting you set up with com…, 
securecompliance/gvm, 45, A Docker Container For Greenbone Vulnerabili…, 
mfbot/mfbot, 2, The new generation of Shakes & Fidget bot - …, 
tshethp/java-struts2-cve-2018-11776, 3, Image consists Java struts sample applicatio…, 
gaiapipeline/gaia, 6, Build powerful pipelines in any programming …, 
weaveworks/weave-npc, 4, , 
minecoins/xmr-stak-cpu, 10, XMR-Stak-CPU is a universal Stratum pool min…, 
chbrandt/ds9, 3, Docker image for SAO's DS9 astronomical imag…, 
zscaler/zpa-connector, 5, , 
whyour/qinglong, 602, , 
linuxserver/booksonic, 78, A Booksonic container, brought to you by Lin…, 
gridgain/control-center-backend, 2, GridGain Control Center is a comprehensive c…, 
xiaotech/rbd-provisioner, 2, quay.io/external_storage/rbd-provisioner:lat…, 
xtoys/clash, 5, Clash Premium With Dashboard (Yacd)., 
fhdhr/fhdhr, 2, fun Home Distribution Hiatus Recreation, 
eoranged/rq-dashboard, 2, Web interface for monitoring RQ queues, 
mainflux/mqtt, 3, MQTT adapter service for Mainflux IoT platfo…, 
ibmcom/camc-pattern-manager, 2, IBM Cloud Automation Manager - Advance Conte…, 
2ndkauboy/php-apache-pagespeed, 2, Extends the official php container with the …, 
harshavardhanj/pwndrop, 3, Self-hosted file hosting service allowing ea…, 
ponyopapa/dc1_server, 13, 自建dc1服务器, 
shiomax/jrivermc25, 4, Docker image for JRiver Media Center 25., 
i686/ubuntu, 9, Ubuntu base image for the i686 architecture., 
adhocore/lemp, 8, A single container LEMP fullstack with mysql…, 
bryanhong/aptly, 4, aptly backed by nginx, 
vbfox/fable-build, 2, Build environments for Fable (F# to JavaScri…, 
alfresco/alfresco-share, 19, , 
itprojectsllc/install-odoo, 4, Install odoo from git source, 
tumgis/3dcitydb-postgis, 4, Docker images for the 3D City Database (3DCi…, 
twilio/twilio-python, 2, , 
azukiapp/azktcl, 2, Docker image used by azk made by Azuki  - ht…, 
cnych/helm, 2, helm docker image, 
ddidier/sphinx-doc, 6, Sphinx documentation builder with support fo…, 
xrally/xrally-openstack, 4, xRally (extended Rally) framework with OpenS…, 
typelead/eta, 3, The official Docker repo for the Eta program…, 
flrnrud7/laravel-php-fpm, 3, PHP-FPM Docker image for Laravel, 
fotengauer/altlinux-sisyphus, 2, , 
qoomon/docker-host, 15, Docker container to forward all traffic to t…, 
voroninman/quakejs-server, 2, QuakeJS is a port of ioquake3 to JavaScript …, 
riftbit/icecast-retro-streamer, 2, Server to emulate old warm AM radio sound (f…, 
slothcroissant/caddy-cloudflaredns, 6, caddy-cloudflaredns adds Cloudflare LetsEncr…, 
tianon/toybox, 2, Toybox combines common Linux command line ut…, 
ibmcom/ibm-storage-enabler-for-containers, 2, IBM Storage Enabler for Containers enables p…, 
octopusdeploy/octo, 9, A docker wrapped version of the popular Octo…, 
jbergstroem/mariadb-alpine, 11,  A tiny MariaDB container, 
cftoolsmiths/cron-resource, 3, A cron resource for Concourse CI, 
zixia/facenet, 5, A TensorFlow backed FaceNet implementation, …, 
bitwarden/sso, 3, The Bitwarden SSO server. , 
nowsci/youtube-dl-api, 2, A server application with bookmarklet that a…, 
kasmweb/tor-browser, 20, Tor Browser for Kasm Workspaces, 
ebspace/aarch64-mysql, 7, MySQL for ARMv8 (aarch64 architecture), 
fijimunkii/hubot, 2, , 
hotio/prowlarr, 11, Please visit https://hotio.dev for documenta…, 
baqend/storm, 6, enables deploying an Apache Storm cluster on…, 
ffmpeg/coverity, 2, Environment for automated coverity testing o…, 
sdelements/lets-chat, 53, Self-hosted chat app for small teams., 
mykro/java8-jre, 4, An Oracle Java JRE base to install Java apps…, 
unfetter/unfetter-discover-processor, 4, Stores base Unfetter Discover data, 
douhashi/redmica, 2, Docker image for RedMica, 
ngrinder/controller, 19, ngrinder/controller information, 
awinglobal/better-chef-rundeck, 2, An app for integrating Chef and Rundeck - Fo…, 
bydga/portus, 24, , 
arno0x0x/docker-cryptpad, 4, Cryptpad is the zero knowledge, end-to-end e…, 
fiware/idm, 3, FIWARE Identity Management GE - Keyrock, 
xzdbd/game-server, 2, game-server, 
lerenn/git-server, 7, Docker image for simple git server, 
tp4a/teleport, 3, teleport是一款简单易用的堡垒机系统，具有小巧…, 
sczdhy/ubuntu-sshd, 2, +RUN echo "GatewayPorts yes" >> /etc/ssh/ssh…, 
4minitz/4minitz, 5, 4Minitz! - Simply a decent free webapp for t…, 
mgos/esp32-build, 7, , 
f5networksdevel/k8s-bigip-ctlr, 5, Container repository for development images …, 
axway/eks-tooling, 4, Axway EKS Tooling, 
bde2020/spark-master, 51, Apache Spark master for a standalone cluster, 
pboos/rancher-cassandra, 7, This is an extended version of the official …, 
nekottyo/kustomize-kubeval, 2, kubectl, kustomize, kubeval, 
milaq/kodi-headless, 8, A headless, dockerized Kodi instance for a s…, 
amazon/aws-sagemaker-kfp-components, 2, , 
brainlife/fsl, 4, FSL container for Brainlife use, 
grafana/enterprise-logs, 2, , 
ethereum/client-go, 292, Official golang implementation of the Ethere…, 
linuxserver/duplicati, 270, A Duplicati container, brought to you by Lin…, 
jlesage/jdownloader-2, 137, Docker container for JDownloader 2, 
dannygreg/tuya_local, 2, Lightweight Express.js server for communicat…, 
mklinski/salesforce, 6, Image for deploying Salesforce with Bitbucke…, 
lstcml/alpine-nginx-php, 3, N1中运行轻量级LNP, 
mattermost/platform, 32, Open source Slack-alternative. Preview image…, 
jaspeen/oracle-11g, 190, Docker image for Oracle 11g database, 
birkhofflee/telegram-warning-bot, 3, A Telegram bot for pushing real-time emergen…, 
daptin/daptin, 3, Daptin Headless CMS engine, 
ruiqimao/kbfirmware, 8, https://github.com/ruiqimao/qmkbuilder, 
silex/emacs, 40, Run Emacs in docker containers!, 
dvcorg/cml-py3, 3, , 
cooolin/socks5, 3, Socks5 proxy server with UDP associate and u…, 
rglab/cytoverse, 2, Bundled Cytoverse packages, 
osrm/osrm-backend, 91, The Open Source Routing Machine in a box! Th…, 
hotio/jackett, 18, Please visit https://hotio.dev for documenta…, 
buhuipao/docker-zabbix, 2, ## 基于自己的ubuntu-lnmp镜像，编译安装Zabbix…, 
mwienk/docker-lftp, 11, LFTP client for Docker (without an entrypoin…, 
weaveworks/scope, 60, Monitoring, visualisation & management for D…, 
id4v/phpci, 2, PHPCI Container without MYSQ. You'll need to…, 
jcowey/dnsmasq-arm, 6, dnsmasq with webproc on arm, 
samos123/pptp-vpn-server, 6, Simple PPTP VPN Server with SNAT by default, 
ilyasemenov/gitlab-ci-git-push, 2, Gitlab CI runner image that pushes to a remo…, 
az82/docker-derby, 5, Docker image for Apache Derby using the Open…, 
2fauth/2fauth, 3, A web app to manage your Two-Factor Authenti…, 
0x4d4c/inetsim, 2, Dockerized version of INetSim, 
uhopper/hadoop-resourcemanager, 3, Hadoop resourcemanager, 
bllip/bllip-parser-python, 2, , 
hwdsl2/ipsec-vpn-server, 427, VPN server with IPsec/L2TP, Cisco IPsec and …, 
boystar/ubantu, 2, Ubantu系统精简版, 
bodsch/docker-jolokia, 3, Jolokia is an json2jmx Bridge, 
ficusio/redis-commander, 4, Lightweight image for Redis Commander, 
usman/docker-seyren, 6, , 
caylent/wordpress-multisite, 7, Multisite WordPress feature which allows cre…, 
yarnpkg/dev, 4, Docker image for building Yarn (https://yarn…, 
organizrtools/organizr-v2, 78, WARNING!!! Image has been Deprecated | Pleas…, 
splunk/fluentd-hec, 7, This image contains fluentd along with the f…, 
darathor/openvpn, 8, OpenVPN server for ARM, 
dylanlindgren/docker-laravel-nginx, 50, Docker container for Nginx for use with the …, 
crazymax/matomo, 8, Matomo (formerly Piwik) image based on Alpin…, 
ytorg/yotter, 2, Youtube and Twitter with privacy, 
zixia/windows, 2, Run Windows Application in a Linux Docker Co…, 
edfron/snowtire, 2, Image provides JupyterLab Notebooks, Python,…, 
fjudith/draw.io, 76, Dockerized draw.io based on tomcat:9-jre11 &…, 
geerlingguy/docker-ubuntu2004-ansible, 11, Ubuntu 20.04 LTS (Focal Fossa) Docker contai…, 
mvdan/shfmt, 7, Official shfmt images from https://github.co…, 
wso2/wso2is-km, 3, WSO2 Identity Server as a Key Manager, 
turbonomic/kafka, 2, , 
boggart/docker-wine-vnc, 4, A Wine container for Docker based on alpine …, 
pvpin/pmmp, 3, Run latest PMMP server in Docker., 
smebberson/alpine-base, 15, An Alpine Linux base image, featuring s6 pro…, 
hhvm/hhvm-proxygen, 18, HHVM running as an HTTP server on Ubuntu, 
hpsoftware/load_generator, 6, Docker Image for HP LoadRunner Load Generato…, 
skandyla/wrk, 9, Wrk http benchmarking tool in minimal Alpine…, 
amyhre/docuwiki, 3, Docker image with latest docuwiki, 
bgruening/galaxy-rna-workbench, 8, The RNA analyses workbench!, 
yoctocookbook2ndedition/docker-yocto-builder, 6, A Docker Yocto builder., 
avhost/docker-matrix-riot, 7, The riot web chat client for matrix, 
clearlinux/tesseract-ocr, 8, Docker image with OCR engine `libtesseract` …, 
mderela/apache-nifi, 3, Apache Nifi, 
phenompeople/nginx, 2, Open source reverse proxy server for HTTP, H…, 
szboardstretcher/nagios-4.0.8_centos7, 2, , 
cryptocurrency/xmr-stak-cpu, 13, Easy installation of xmr-stak-cpu for Window…, 
tutum/cleanup, 10, [Tutum System Image] Cleans up unused images…, 
balenalib/raspberry-pi2-alpine-python, 3, This image is part of the balena.io base ima…, 
